Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,20,50,None,24,48,18,-841.11,16.67,-46.73,3,3,-146.99,33.33,1
Down,jma,6h,10,3.0,20,50,None,24,60,18,-841.11,16.67,-46.73,3,3,-146.99,33.33,1
Down,jma,6h,10,3.0,50,0,1.0,12,24,29,-842.23,0.0,-29.04,0,3,-66.45,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,12,0,29,-842.29,0.0,-29.04,0,3,-66.47,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,12,48,29,-842.29,0.0,-29.04,0,3,-66.47,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,12,60,29,-842.29,0.0,-29.04,0,3,-66.47,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,12,24,29,-852.1,3.45,-29.38,1,8,-209.15,12.5,1
Down,jma,6h,10,3.0,50,50,1.0,12,0,29,-852.36,3.45,-29.39,1,8,-209.25,12.5,1
Down,jma,6h,10,3.0,50,50,1.0,12,48,29,-852.36,3.45,-29.39,1,8,-209.25,12.5,1
Down,jma,6h,10,3.0,50,50,1.0,12,60,29,-852.36,3.45,-29.39,1,8,-209.25,12.5,1
Down,jma,6h,10,3.0,30,50,1.0,0,0,45,-862.79,2.22,-19.17,1,8,-163.83,12.5,1
Down,jma,6h,10,3.0,30,50,1.0,0,24,45,-862.79,2.22,-19.17,1,8,-163.83,12.5,1
Down,jma,6h,10,3.0,30,50,1.0,0,48,45,-862.79,2.22,-19.17,1,8,-163.83,12.5,1
Down,jma,6h,10,3.0,30,50,1.0,0,60,45,-862.79,2.22,-19.17,1,8,-163.83,12.5,1
Down,jma,6h,10,3.0,20,0,1.0,12,24,28,-864.7,3.57,-30.88,1,5,-227.13,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,12,0,28,-864.75,3.57,-30.88,1,5,-227.17,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,12,48,28,-864.75,3.57,-30.88,1,5,-227.17,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,12,60,28,-864.75,3.57,-30.88,1,5,-227.17,0.0,0
Down,jma,6h,10,3.0,20,0,1.0,24,0,25,-867.71,0.0,-34.71,0,5,-245.34,0.0,0
