symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-22 01:00:00+01:00,252.64,2025-01-24T01:00:00+01:00,252.74,1876.4824218975489,2.815280694996586,-2.0725311613130932,18762.751687814176,"Time-based exit (4 bars, optimal=4)",7.427495336833237,2025-01-22T01:00:00+01:00,2025-01-24T01:00:00+01:00,252.64,252.74
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-22 01:00:00+01:00,8.953e-05,2025-01-24T01:00:00+01:00,8.172e-05,1893.2696471455238,2.7160373093404804,-167.87225247974766,18764.82421897549,"Time-based exit (4 bars, optimal=4)",21146762.505813956,2025-01-22T01:00:00+01:00,2025-01-24T01:00:00+01:00,8.953e-05,8.172e-05
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-22 03:00:00+01:00,693.44,2025-01-24T03:00:00+01:00,680.31,1876.2751687814175,2.7877678816265345,-38.3142632757489,18724.437424538428,"Time-based exit (4 bars, optimal=4)",2.7057498396132575,2025-01-22T03:00:00+01:00,2025-01-24T03:00:00+01:00,693.44,680.31
LINK/USDC,Long,jma,12h,"ParamA=50.0, ParamB=-50.0, ATR=None",2025-01-23 14:00:00+01:00,24.79,2025-01-25T14:00:00+01:00,24.98,1877.8473202674627,2.827565383109468,11.564971561256016,18790.038174235884,"Time-based exit (4 bars, optimal=4)",75.75019444402835,2025-01-23T14:00:00+01:00,2025-01-25T14:00:00+01:00,24.79,24.98
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2025-01-23 14:00:00+01:00,3232.59,2025-01-26T02:00:00+01:00,3330.8,1872.4437424538428,2.8513309454920344,54.03577813620158,18778.473202674628,"Time-based exit (5 bars, optimal=5)",0.5792394774635332,2025-01-23T14:00:00+01:00,2025-01-26T02:00:00+01:00,3232.59,3330.8
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-01-23 15:00:00+01:00,0.3711,2025-01-25T15:00:00+01:00,0.372,1879.0038174235883,2.821923477622208,1.7350785048117774,18791.773252740695,"Time-based exit (4 bars, optimal=4)",5063.3355360376945,2025-01-23T15:00:00+01:00,2025-01-25T15:00:00+01:00,0.3711,0.372
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-24 04:00:00+01:00,252.2,2025-01-26T04:00:00+01:00,258.32,1879.1773252740695,2.8529667171855215,42.74800564870391,18834.5212583894,"Time-based exit (4 bars, optimal=4)",7.451139275472124,2025-01-24T04:00:00+01:00,2025-01-26T04:00:00+01:00,252.2,258.32
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-24 04:00:00+01:00,3.1206,2025-01-26T16:00:00+01:00,3.1148,1883.45212583894,2.8225527267487327,-6.3231687396521234,18828.198089649748,"Time-based exit (5 bars, optimal=5)",603.5544849833173,2025-01-24T04:00:00+01:00,2025-01-26T16:00:00+01:00,3.1206,3.1148
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-24 04:00:00+01:00,9.064,2025-01-26T04:00:00+01:00,9.251,1882.8198089649748,2.8533631510255,35.99122028635856,18864.189309936108,"Time-based exit (4 bars, optimal=4)",207.72504511970155,2025-01-24T04:00:00+01:00,2025-01-26T04:00:00+01:00,9.064,9.251
ADA/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-24 04:00:00+01:00,0.9832,2025-01-26T04:00:00+01:00,0.9838,1886.4189309936107,2.830491790020672,-1.6793004163466978,18862.51000951976,"Time-based exit (4 bars, optimal=4)",1918.6522894564796,2025-01-24T04:00:00+01:00,2025-01-26T04:00:00+01:00,0.9832,0.9838
